                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0299,                0.66321,                 1.1093,                0.59813,                0.43585,                0.46912,                0.22658,                 1.9484,                 1.5646,                 1.5098,              0.0017723,              0.0017723,              0.0017723
                     72,                 1.0401,                0.68203,                 1.1116,                 0.6758,                0.50034,                0.56445,                0.27469,                 1.8301,                 1.1341,                 1.4394,               0.001769,               0.001769,               0.001769
                     73,                 1.0368,                0.67471,                 1.1054,                0.66365,                0.47575,                0.53878,                0.23632,                 2.0033,                 1.2501,                 1.5265,              0.0017657,              0.0017657,              0.0017657
                     74,                 1.0449,                0.67557,                 1.1053,                0.06911,                0.11909,                0.02839,                0.00816,                  3.618,                 4.9878,                 3.0222,              0.0017624,              0.0017624,              0.0017624
                     75,                 1.0244,                0.67721,                    1.1,                0.66643,                0.45365,                 0.5117,                0.24186,                 1.9049,                 1.2127,                 1.5089,              0.0017591,              0.0017591,              0.0017591
                     76,                 1.0485,                0.68431,                 1.1141,                 0.5563,                 0.3879,                0.41762,                0.18233,                 2.0902,                 1.5718,                 1.6139,              0.0017558,              0.0017558,              0.0017558
                     77,                 1.0068,                0.65288,                  1.095,                0.63243,                0.44573,                0.50304,                 0.2382,                 1.9386,                 1.3355,                 1.4871,              0.0017525,              0.0017525,              0.0017525
                     78,                 1.0235,                0.65068,                 1.0987,                 0.6319,                0.51425,                0.54444,                0.25585,                 1.9346,                 1.1966,                 1.4729,              0.0017492,              0.0017492,              0.0017492
                     79,                 1.0004,                0.64611,                 1.0947,                0.49014,                 0.4243,                0.39537,                0.18807,                 1.9756,                 1.6329,                  1.564,              0.0017459,              0.0017459,              0.0017459
                     80,                 1.0052,                0.64847,                 1.0872,                0.50527,                0.40945,                0.41156,                  0.158,                 2.4082,                 1.6461,                  1.854,              0.0017426,              0.0017426,              0.0017426
                     81,                 1.0021,                0.65453,                 1.0961,                0.68714,                 0.5046,                0.56741,                0.24783,                   2.04,                 1.1839,                 1.5317,              0.0017393,              0.0017393,              0.0017393
                     82,                 1.0064,                0.64975,                 1.0898,                0.43255,                 0.3407,                0.33649,                0.13387,                 2.3672,                 1.6519,                 1.8475,               0.001736,               0.001736,               0.001736
                     83,                0.99806,                0.65029,                 1.0975,                0.49219,                0.38797,                0.35865,                0.15411,                 2.1903,                 1.7701,                 1.7258,              0.0017327,              0.0017327,              0.0017327
                     84,                 1.0069,                 0.6602,                 1.1017,                 0.2764,                0.22041,                0.17217,                0.05155,                 2.9754,                 2.2315,                 2.3454,              0.0017294,              0.0017294,              0.0017294
                     85,                 1.0185,                0.66367,                 1.0991,                0.51757,                0.32351,                0.34378,                0.14131,                 2.3066,                 1.6242,                 1.7608,              0.0017261,              0.0017261,              0.0017261
                     86,                 1.0075,                0.64539,                 1.0936,                0.68493,                0.50043,                 0.5588,                0.24946,                 1.9408,                 1.1938,                 1.5314,              0.0017228,              0.0017228,              0.0017228
                     87,                0.99594,                0.63866,                 1.0911,                0.69925,                 0.5089,                 0.5718,                0.26809,                 1.9106,                 1.1608,                 1.4953,              0.0017195,              0.0017195,              0.0017195
                     88,                 1.0191,                0.66159,                 1.0947,                0.65361,                0.50153,                 0.5339,                0.26157,                 1.8595,                 1.1812,                 1.4758,              0.0017162,              0.0017162,              0.0017162
                     89,                0.97931,                0.61908,                 1.0719,                0.64344,                0.46102,                0.50879,                0.23475,                 1.9857,                 1.3562,                 1.5173,              0.0017129,              0.0017129,              0.0017129
                     90,                0.98669,                0.63855,                  1.097,                0.50532,                0.43585,                0.43375,                 0.1762,                 2.2252,                 1.5212,                 1.6386,              0.0017096,              0.0017096,              0.0017096
                     91,                0.99742,                0.63273,                 1.0868,                0.67954,                0.49335,                0.54474,                0.26582,                 1.8066,                  1.166,                 1.4463,              0.0017063,              0.0017063,              0.0017063
                     92,                 1.0011,                 0.6326,                 1.0897,                0.51867,                  0.407,                0.42436,                 0.1922,                 2.0907,                 1.6052,                 1.6346,               0.001703,               0.001703,               0.001703
                     93,                0.99131,                0.62646,                 1.0902,                0.50981,                0.43585,                0.41551,                  0.199,                 1.8667,                 1.5414,                  1.466,              0.0016997,              0.0016997,              0.0016997
                     94,                0.96664,                0.62349,                 1.0707,                0.62949,                0.48602,                0.53237,                0.26408,                 1.8317,                 1.2213,                 1.4627,              0.0016964,              0.0016964,              0.0016964
                     95,                0.96497,                0.62273,                 1.0814,                0.64397,                0.47084,                0.52466,                0.25509,                 1.9152,                 1.3335,                 1.5083,              0.0016931,              0.0016931,              0.0016931
