                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.1205,                0.75372,                  1.155,                0.28282,                0.35912,                0.22196,                0.09087,                 2.2001,                 2.1168,                 1.6603,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.1056,                0.74175,                 1.1463,                0.58455,                0.46347,                0.50168,                0.23553,                 1.9084,                 1.2861,                 1.4837,               0.001835,               0.001835,               0.001835
                     53,                 1.1468,                0.76077,                 1.1599,                0.60452,                0.45734,                0.48945,                0.23142,                 1.9757,                 1.3459,                 1.5285,              0.0018317,              0.0018317,              0.0018317
                     54,                 1.1228,                0.73268,                 1.1451,                0.56513,                 0.4512,                 0.4737,                 0.2239,                  1.925,                 1.3939,                  1.506,              0.0018284,              0.0018284,              0.0018284
                     55,                 1.0932,                0.72085,                  1.138,                0.57344,                0.41346,                0.44742,                0.20085,                 1.9692,                 1.4857,                 1.5531,              0.0018251,              0.0018251,              0.0018251
                     56,                 1.0944,                0.71887,                 1.1362,                0.45375,                0.34991,                0.31412,                0.11365,                 2.3836,                 1.7823,                 1.8176,              0.0018218,              0.0018218,              0.0018218
                     57,                 1.0794,                0.71971,                 1.1289,                0.15445,                0.23189,                0.10417,                0.03333,                  2.665,                 2.9307,                  2.041,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.1027,                0.71617,                 1.1403,                0.44439,                0.32474,                0.33069,                0.13067,                 2.3503,                 1.7822,                  1.727,              0.0018152,              0.0018152,              0.0018152
                     59,                 1.1043,                0.70705,                 1.1486,                0.55425,                0.45488,                0.46121,                0.20792,                 2.0243,                 1.4276,                 1.5429,              0.0018119,              0.0018119,              0.0018119
                     60,                 1.0615,                0.68262,                 1.1128,                0.44011,                0.37017,                0.32677,                0.12495,                 2.3302,                  1.826,                  1.824,              0.0018086,              0.0018086,              0.0018086
                     61,                 1.0871,                0.68732,                 1.1196,                0.43941,                0.34254,                0.30798,                0.13329,                 2.2563,                 1.7746,                 1.7589,              0.0018053,              0.0018053,              0.0018053
                     62,                 1.1059,                0.70582,                 1.1321,                0.53899,                0.43155,                0.43682,                 0.2035,                 1.9844,                 1.4136,                 1.5684,               0.001802,               0.001802,               0.001802
                     63,                 1.0502,                0.70036,                 1.1256,                0.66156,                0.46041,                0.51836,                0.25097,                 1.8481,                 1.2829,                  1.465,              0.0017987,              0.0017987,              0.0017987
                     64,                 1.0658,                0.69995,                   1.12,                0.67277,                0.44931,                0.52212,                0.25993,                 1.8879,                 1.2771,                 1.4825,              0.0017954,              0.0017954,              0.0017954
                     65,                 1.0346,                0.68707,                 1.1036,                0.43921,                0.41252,                0.38429,                0.16602,                 2.0741,                 1.6419,                  1.602,              0.0017921,              0.0017921,              0.0017921
                     66,                 1.0621,                0.69414,                 1.1302,                0.60323,                0.42971,                0.47658,                0.22498,                 1.9492,                 1.3284,                 1.5583,              0.0017888,              0.0017888,              0.0017888
                     67,                 1.0338,                0.66888,                 1.1128,                0.47713,                0.32965,                0.31521,                0.12775,                 2.4476,                 1.6976,                 1.9376,              0.0017855,              0.0017855,              0.0017855
                     68,                 1.0386,                0.67178,                 1.1102,                0.66839,                0.46225,                0.53086,                0.26707,                 1.8302,                 1.1905,                 1.4475,              0.0017822,              0.0017822,              0.0017822
                     69,                 1.0501,                0.67541,                  1.108,                0.62527,                 0.5019,                0.51816,                 0.2473,                 1.9194,                 1.2876,                 1.5094,              0.0017789,              0.0017789,              0.0017789
                     70,                 1.0437,                0.67542,                 1.1108,                0.57143,                0.42971,                0.44929,                0.20579,                 2.0013,                 1.3667,                 1.5872,              0.0017756,              0.0017756,              0.0017756
                     71,                0.99535,                0.63191,                 1.0796,                0.50693,                0.40823,                0.40084,                 0.1769,                 2.1118,                 1.5574,                 1.6481,              0.0017723,              0.0017723,              0.0017723
                     72,                 1.0152,                0.64649,                 1.0923,                0.64661,                 0.4695,                0.50426,                0.24835,                 1.8995,                 1.2538,                 1.5185,               0.001769,               0.001769,               0.001769
                     73,                 1.0347,                0.66141,                 1.1014,                0.50282,                0.41805,                0.39107,                0.18881,                 1.9592,                 1.6003,                 1.5383,              0.0017657,              0.0017657,              0.0017657
                     74,                 1.0441,                0.67362,                 1.1121,                0.22197,                0.13874,                0.09625,                  0.028,                 3.2538,                  3.024,                 2.4054,              0.0017624,              0.0017624,              0.0017624
                     75,                 1.0276,                0.64951,                 1.0958,                0.65884,                0.49355,                0.53017,                0.25861,                 1.8606,                 1.2249,                   1.46,              0.0017591,              0.0017591,              0.0017591
                     76,                 1.0144,                0.63939,                 1.0905,                0.54942,                0.42541,                0.44367,                0.20609,                  2.022,                 1.4835,                 1.5771,              0.0017558,              0.0017558,              0.0017558
                     77,                0.99677,                 0.6453,                   1.09,                0.61473,                0.39779,                0.41642,                0.20012,                 2.0031,                 1.4173,                 1.6372,              0.0017525,              0.0017525,              0.0017525
                     78,                 1.0097,                0.64604,                 1.0836,                 0.3026,                0.24478,                0.20534,                0.07504,                  2.662,                 2.3944,                 2.0395,              0.0017492,              0.0017492,              0.0017492
                     79,                 1.0093,                 0.6535,                  1.098,                0.52775,                0.41743,                0.41977,                0.19252,                 2.0108,                 1.3923,                 1.5487,              0.0017459,              0.0017459,              0.0017459
                     80,                 1.0071,                0.64345,                 1.0702,                0.61075,                0.41191,                0.46418,                0.20704,                 2.0955,                 1.3841,                 1.6388,              0.0017426,              0.0017426,              0.0017426
                     81,                0.98816,                0.62805,                 1.0752,                0.66943,                0.46409,                 0.5354,                0.24371,                 2.1131,                 1.2937,                 1.5798,              0.0017393,              0.0017393,              0.0017393
                     82,                 1.0069,                0.63976,                 1.0829,                0.42903,                0.36587,                0.30522,                0.11474,                 2.4458,                 1.9296,                 1.8836,               0.001736,               0.001736,               0.001736
                     83,                 1.0028,                0.64727,                 1.0843,                0.40092,                0.42541,                 0.3511,                0.14293,                 2.1748,                 1.8286,                 1.7689,              0.0017327,              0.0017327,              0.0017327
                     84,                0.98274,                0.63507,                 1.0852,                0.66621,                0.48926,                0.53801,                0.24873,                 1.9379,                 1.2467,                 1.5289,              0.0017294,              0.0017294,              0.0017294
                     85,                0.97918,                0.61528,                  1.075,                 0.4658,                0.42787,                0.36569,                0.16255,                 2.0654,                 1.6476,                 1.6199,              0.0017261,              0.0017261,              0.0017261
                     86,                 1.0043,                0.63236,                 1.0969,                0.54691,                0.40945,                0.42357,                0.20742,                 1.9394,                 1.5314,                 1.5666,              0.0017228,              0.0017228,              0.0017228
                     87,                0.97516,                0.63354,                 1.0741,                0.60999,                0.45672,                0.49841,                0.23869,                 1.9204,                 1.2423,                 1.5616,              0.0017195,              0.0017195,              0.0017195
                     88,                0.96488,                0.62253,                 1.0664,                0.56415,                0.42848,                0.44833,                0.21412,                 1.9235,                 1.4437,                 1.5543,              0.0017162,              0.0017162,              0.0017162
                     89,                0.98664,                0.62996,                 1.0764,                0.66262,                0.47145,                0.51863,                0.25145,                 1.9214,                 1.2335,                 1.5412,              0.0017129,              0.0017129,              0.0017129
                     90,                0.97829,                0.62504,                  1.072,                0.54008,                0.44261,                0.43978,                0.19444,                  2.081,                 1.5464,                 1.6349,              0.0017096,              0.0017096,              0.0017096
                     91,                 0.9584,                0.61469,                 1.0682,                0.34543,                0.35605,                0.28108,                0.12458,                 2.1941,                  2.042,                 1.7345,              0.0017063,              0.0017063,              0.0017063
                     92,                0.96506,                0.61516,                 1.0708,                0.65953,                0.42541,                0.51805,                0.25911,                 1.9206,                 1.3121,                 1.4932,               0.001703,               0.001703,               0.001703
                     93,                0.93521,                0.59347,                 1.0499,                0.67603,                0.48619,                0.55581,                0.27659,                 1.8507,                 1.1416,                 1.4937,              0.0016997,              0.0016997,              0.0016997
                     94,                0.95216,                0.59572,                 1.0562,                0.67089,                0.48435,                0.55866,                0.26681,                 1.9464,                 1.1945,                 1.5414,              0.0016964,              0.0016964,              0.0016964
                     95,                0.93453,                0.59986,                 1.0592,                0.61381,                0.42832,                0.46098,                0.20815,                 1.9955,                 1.3085,                 1.5878,              0.0016931,              0.0016931,              0.0016931
                     96,                0.94549,                0.60129,                 1.0699,                0.63619,                0.42173,                0.44783,                 0.1999,                 2.0273,                 1.3378,                 1.6801,              0.0016898,              0.0016898,              0.0016898
                     97,                 0.9514,                0.59648,                 1.0546,                0.64775,                0.51627,                0.55537,                0.25269,                   2.03,                 1.1666,                 1.5661,              0.0016865,              0.0016865,              0.0016865
                     98,                0.95039,                0.60851,                 1.0736,                0.62434,                0.50297,                0.53207,                0.25835,                 1.8595,                 1.1911,                 1.4929,              0.0016832,              0.0016832,              0.0016832
                     99,                0.93461,                0.59472,                 1.0507,                 0.4044,                0.38551,                0.30061,                0.12211,                 2.2629,                 1.6891,                 1.7754,              0.0016799,              0.0016799,              0.0016799
                    100,                0.95133,                0.60575,                 1.0591,                0.62689,                0.45611,                 0.4986,                0.23398,                 1.9514,                 1.3367,                 1.5467,              0.0016766,              0.0016766,              0.0016766
                    101,                0.94476,                0.59757,                 1.0616,                0.57866,                 0.4469,                 0.4495,                0.19884,                 2.0649,                 1.3404,                 1.6636,              0.0016733,              0.0016733,              0.0016733
                    102,                0.93936,                0.60259,                 1.0674,                0.50416,                0.43318,                0.41046,                0.16382,                 2.2145,                 1.4901,                 1.7263,                0.00167,                0.00167,                0.00167
                    103,                0.91811,                0.58316,                 1.0553,                0.62055,                0.45856,                0.48985,                0.21954,                 2.0606,                 1.3239,                 1.6227,              0.0016667,              0.0016667,              0.0016667
                    104,                0.95417,                0.58582,                 1.0563,                0.64385,                 0.4911,                0.52277,                0.26076,                 1.8603,                 1.2152,                 1.5137,              0.0016634,              0.0016634,              0.0016634
                    105,                0.95115,                0.59671,                 1.0646,                0.64841,                0.48567,                0.54085,                0.25587,                 1.8533,                 1.2238,                 1.4753,              0.0016601,              0.0016601,              0.0016601
                    106,                0.92934,                0.58621,                 1.0562,                0.55061,                0.47023,                0.48175,                0.21236,                  2.052,                   1.37,                  1.596,              0.0016568,              0.0016568,              0.0016568
                    107,                0.94338,                0.58047,                 1.0587,                0.66882,                0.48435,                0.54119,                0.27068,                 1.8617,                 1.1237,                 1.4916,              0.0016535,              0.0016535,              0.0016535
                    108,                0.92484,                0.58143,                 1.0586,                0.54815,                0.48435,                0.47815,                0.23004,                 1.9741,                 1.3726,                 1.5303,              0.0016502,              0.0016502,              0.0016502
                    109,                0.90278,                0.57001,                 1.0386,                0.66085,                0.51565,                0.56147,                0.26136,                 1.9623,                 1.1392,                 1.5674,              0.0016469,              0.0016469,              0.0016469
                    110,                0.91168,                0.57422,                 1.0505,                0.64668,                0.50338,                0.55526,                0.24856,                 2.0477,                 1.2322,                 1.6069,              0.0016436,              0.0016436,              0.0016436
                    111,                0.91203,                0.57406,                 1.0486,                0.66608,                0.44383,                0.49264,                 0.2291,                 1.9465,                 1.3349,                 1.5776,              0.0016403,              0.0016403,              0.0016403
                    112,                0.91684,                0.57039,                 1.0442,                0.53179,                 0.4044,                0.40633,                 0.1836,                 2.1342,                 1.5592,                  1.752,               0.001637,               0.001637,               0.001637
                    113,                0.89163,                0.56413,                 1.0404,                0.58907,                0.51197,                 0.4909,                0.22688,                 1.9969,                 1.3108,                 1.5888,              0.0016337,              0.0016337,              0.0016337
                    114,                0.91798,                0.58341,                  1.044,                0.63999,                0.51181,                0.55061,                0.26135,                  1.934,                 1.1823,                 1.5512,              0.0016304,              0.0016304,              0.0016304
                    115,                0.91491,                0.57831,                 1.0496,                 0.6318,                0.46777,                0.50958,                0.23961,                 2.0177,                 1.2811,                 1.6299,              0.0016271,              0.0016271,              0.0016271
                    116,                0.89837,                0.56909,                 1.0366,                0.58667,                0.42234,                0.44561,                0.19963,                 2.1604,                 1.2828,                 1.7337,              0.0016238,              0.0016238,              0.0016238
                    117,                0.89213,                0.55296,                 1.0233,                0.68163,                0.48926,                0.56553,                 0.2698,                 1.9047,                 1.2159,                 1.5308,              0.0016205,              0.0016205,              0.0016205
                    118,                0.90513,                0.56249,                 1.0374,                0.68514,                0.50092,                0.56433,                0.27958,                 1.8537,                 1.1116,                 1.5149,              0.0016172,              0.0016172,              0.0016172
                    119,                0.88812,                0.55125,                 1.0244,                0.53637,                0.46102,                0.46303,                0.22792,                 1.9265,                 1.3829,                 1.5214,              0.0016139,              0.0016139,              0.0016139
                    120,                0.88707,                0.55116,                 1.0313,                0.68359,                0.44383,                0.52268,                0.24238,                 2.0159,                 1.2918,                 1.6078,              0.0016106,              0.0016106,              0.0016106
                    121,                0.89859,                0.55736,                 1.0344,                0.57739,                0.42971,                 0.4541,                0.20346,                 2.1131,                 1.5264,                 1.6935,              0.0016073,              0.0016073,              0.0016073
                    122,                0.89189,                 0.5604,                 1.0334,                 0.2446,                0.15101,                0.12751,                0.04654,                 2.7392,                 3.8813,                 2.1618,               0.001604,               0.001604,               0.001604
                    123,                0.88548,                0.56239,                 1.0378,                0.57213,                0.44243,                0.45209,                0.20258,                 2.0791,                 1.3165,                 1.6666,              0.0016007,              0.0016007,              0.0016007
                    124,                0.89226,                0.54589,                  1.033,                0.64497,                0.46163,                0.52117,                 0.2438,                 1.9531,                 1.2075,                 1.5753,              0.0015974,              0.0015974,              0.0015974
                    125,                0.86358,                 0.5312,                 1.0176,                0.60751,                0.41523,                0.45278,                0.19044,                 2.1813,                 1.5231,                 1.7511,              0.0015941,              0.0015941,              0.0015941
                    126,                0.88405,                0.54387,                  1.024,                0.72113,                0.48496,                0.56835,                0.28419,                 1.8795,                 1.1506,                 1.5408,              0.0015908,              0.0015908,              0.0015908
                    127,                0.88221,                0.55072,                 1.0263,                 0.5383,                 0.4373,                0.43292,                0.17607,                 2.2687,                 1.4012,                  1.848,              0.0015875,              0.0015875,              0.0015875
                    128,                0.87697,                0.55552,                 1.0296,                 0.5514,                 0.3763,                0.41029,                0.17311,                  2.302,                 1.5462,                  1.861,              0.0015842,              0.0015842,              0.0015842
                    129,                0.86606,                 0.5452,                  1.024,                0.60381,                0.47575,                0.48955,                0.22713,                 2.0206,                 1.3967,                 1.6292,              0.0015809,              0.0015809,              0.0015809
                    130,                0.86583,                0.54566,                  1.028,                0.66558,                0.48619,                 0.5369,                 0.2662,                 1.8431,                 1.1993,                 1.4906,              0.0015776,              0.0015776,              0.0015776
                    131,                 0.8723,                0.54405,                 1.0275,                0.63424,                0.49724,                0.52277,                0.25579,                 1.8439,                 1.2368,                 1.5124,              0.0015743,              0.0015743,              0.0015743
                    132,                0.89649,                 0.5599,                 1.0331,                0.68156,                0.48619,                0.53904,                 0.2642,                 1.9092,                  1.166,                 1.5272,               0.001571,               0.001571,               0.001571
                    133,                0.87494,                0.53882,                 1.0261,                0.65614,                0.46163,                0.51002,                0.25992,                 1.8196,                 1.1783,                 1.5005,              0.0015677,              0.0015677,              0.0015677
                    134,                 0.8761,                0.53841,                 1.0248,                0.65752,                0.47023,                0.52222,                0.24531,                 1.9203,                 1.2302,                 1.5543,              0.0015644,              0.0015644,              0.0015644
